RFID,Sex,Elevation,TestYear,I.TotTrials,I.20.LocErr,I.Tot.LocErr,R.TotTrials,R.20.LocErr,R.Tot.LocErr
0700EDB721,M,H,2018_19,48,0.85,0.625,,,
0700EE3A1B,M,H,2018_19,48,0.45,0.395833333,,,
0700EE32A9,M,H,2018_19,50,0.85,0.98,,,
0700EDF0AC,M,L,2016_17,52,1.45,0.75,,,
0700EE1199,M,L,2016_17,56,0.7,0.392857143,,,
0700EE3D89,M,L,2016_17,56,0.6,0.285714286,,,
0700EDA11E,F,H,2018_19,57,1.35,0.842105263,,,
0700EDED17,F,L,2016_17,59,1.2,0.644067797,,,
0700EDF2C1,F,L,2016_17,67,1.55,0.746268657,,,
0700EE42EC,F,H,2016_17,68,0.4,0.411764706,,,
0700EE1664,M,L,2016_17,70,0.55,0.328571429,,,
0700EDDE2F,M,H,2018_19,71,0.55,0.309859155,,,
0700EE3937,M,L,2018_19,74,2.15,1.121621622,,,
0700EDE7CE,F,L,2016_17,75,0.55,0.36,,,
011017975A,F,H,2018_19,77,0.4,0.220779221,,,
0700EDD133,F,L,2016_17,78,1.3,0.615384615,,,
0700EDD1FB,F,L,2016_17,81,0.6,0.50617284,,,
0700EDE028,M,H,2018_19,84,0.6,0.273809524,,,
0700EE1431,M,H,2018_19,94,0.3,0.106382979,,,
300028599,M,L,2016_17,104,1.5,0.730769231,,,
0700EE009C,F,L,2016_17,115,1.05,0.452173913,,,
0700ED97C3,F,H,2018_19,115,0.45,0.330434783,,,
0700EE3D69,F,L,2016_17,117,1.85,0.64957265,,,
0700EDDF34,F,H,2018_19,118,1.05,0.661016949,,,
0700EE1E3D,M,L,2016_17,118,0.8,0.254237288,,,
300026637,F,H,2015_16,126,0.05,0.19047619,,,
0700ED8FCF,M,L,2016_17,134,2.15,0.641791045,,,
0700EDB48F,M,L,2016_17,143,0.5,0.27972028,,,
0700EDD584,M,H,2015_16,158,0.95,0.588607595,,,
110170546,F,L,2018_19,164,1.05,0.463414634,,,
0700ED8ABC,M,L,2016_17,167,0.55,0.22754491,,,
0700ED9457,F,L,2016_17,167,0.5,0.22754491,,,
0700ED99D6,M,H,2018_19,175,0.7,0.274285714,,,
0700EDE52B,M,H,2016_17,204,0.95,0.338235294,,,
0700EE279D,F,L,2016_17,209,0.5,0.119617225,,,
0700EDA90A,F,L,2016_17,248,1,0.22983871,,,
0700ED9E1B,F,L,2016_17,304,0.6,0.141447368,,,
0700EDDCBB,F,L,2016_17,310,0.55,0.135483871,,,
0700ED8BD1,F,H,2016_17,322,0.65,0.186335404,,,
0700EDD96A,M,L,2016_17,380,1.35,0.318421053,,,
0700EE1498,F,L,2016_17,429,0.85,0.137529138,,,
0700EDC24A,M,L,2016_17,460,0.65,0.134782609,,,
0700EDEF3F,F,L,2016_17,479,0.85,0.127348643,,,
0700EDA7DF,F,L,2016_17,559,1.15,0.141323792,,,
0700EE048B,F,L,2016_17,568,0.75,0.093309859,,,
0700EE3513,F,L,2016_17,629,0.2,0.06518283,,,
0700EE1337,M,L,2016_17,686,0.8,0.123906706,,,
0700EDD440,M,L,2015_16,708,0.8,0.365819209,,,
0700ED89CE,M,L,2016_17,723,1.65,0.208852006,,,
0700EDD4B1,F,L,2016_17,739,1.4,0.139377537,,,
0700ED87E0,M,H,2015_16,872,1.65,0.151376147,,,
0700EE167B,M,L,2016_17,923,1.4,0.141928494,,,
300036594,F,H,2015_16,975,1.45,0.608205128,,,
0700ED92A0,M,H,2015_16,1053,1.15,0.523266857,,,
0700EDBD06,M,H,2015_16,1122,0.3,0.312834225,,,
0700EE0D2C,M,H,2015_16,1422,0.9,0.154008439,,,
0700ED9F8E,M,H,2015_16,1565,0.3,0.191054313,,,
